127.0.0.1 - - [06/Oct/2016:16:22:07 +0200] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:22:29 +0200] "GET /PETUT/eleves/semestre1 HTTP/1.1" 200 21238
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:22:29 +0200] "GET /PETUT/css/main.css HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:22:29 +0200] "GET /PETUT/css/allSemestres.css HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:22:34 +0200] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:25:09 +0200] "GET /PETUT/eleves/semestre1 HTTP/1.1" 200 21284
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:25:09 +0200] "GET /PETUT/css/allSemestres.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:25:09 +0200] "GET /PETUT/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:26:16 +0200] "GET /PETUT/eleves/semestre1 HTTP/1.1" 200 21276
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:26:16 +0200] "GET /PETUT/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:16:26:16 +0200] "GET /PETUT/css/allSemestres.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:22:16:46 +0200] "GET /PETUT/connexion HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [06/Oct/2016:22:16:46 +0200] "GET /PETUT/css/connexion.css HTTP/1.1" 200 1191
